sample	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
SL01122	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
SL01122	188913	0.27943961854753846	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria				24161.18773847582
SL01122	850	0.054815010738773685	Fusobacterium mortiferum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria				4739.470273506589
SL01122	300419	0.11782964827685231	Catellicoccus marimammalium	Catellicoccus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				10187.90487896148
SL01122	623	0.0006023257424810982	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria				52.078890672143196
SL01122	562	0.41725649907545453	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria				36077.248679561024
SL01122	666	0.1116682380792399	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria		Bacteria				9655.17086904532
SL01122	2014742	0.0017204579965381516	Vibrio sp. 2521-89	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria		Bacteria				148.7559597546782
SL01122	1352	0.001167955140062969	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				100.9849052752645
SL01122	861	0.0005869109454805552	Fusobacterium ulcerans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria				50.74608107908525
SL01122	37482	0.00170376801931395	Laceyella sacchari	Laceyella	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				147.31289425394206
SL01122	550	0.0001414926148372082	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria			Enterobacter cloacae complex	12.233875956669532
SL01122	158836	0.00014229611725338572	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria			Enterobacter cloacae complex	12.30334918607949
SL01122	1354	0.000993544054837829	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				85.9047996134432
SL01122	29363	0.0001391839344272834	Clostridium paraputrificum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				12.034260522386205
SL01122	654	0.002906804387280729	Aeromonas veronii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				251.33102773745367
SL01122	644	0.00024527624755486956	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				21.207320192336688
SL01122	134	0.00012772741672081582	Methylocystis parvus	Methylocystis	Methylocystaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria		Bacteria				11.043695631931898
SL01122	28901	0.0003368143352310652	Salmonella enterica	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria				29.12197786708359
SL01122	1414720	0.0006146227895286943	Clostridium saudiense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				53.142130251019495
SL01122	95149	0.001376386496691235	Helicobacter pametensis	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				119.00650566341426
SL01122	222136	0.00022400316339991766	Helicobacter sp. MIT 01-6242	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				19.36798551704708
SL01122	1006623	0.00029053459378597943	Aeromonas cavernicola	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				25.12049258251714
SL01122	1549855	0.003444252161878021	Haematospirillum jordaniae	Haematospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria				297.8003746724593
SL01122	2116	0.0006842245648215798	Mycoplasma iowae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria				59.16010854816825
SL01122	1351	0.0005218662260440748	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				45.12211950244884
SL01122	1075	0.00033631376914959	Rhodobacter blasticus	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				29.078697421981
SL01122	933059	0.00030152268958239106	Gemmobacter aquatilis	Gemmobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria				26.070556309362278
SL01122	1930557	0.0002667316100157208	Shewanella sp. FDAARGOS_354	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria				23.062415196789267
SL01122	1605892	0.00011597026522399656	Dysgonomonas alginatilytica	Dysgonomonas	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria				10.027137042062416
SL01122	unassigned	0.0												0.0
ST05031	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
ST05031	201	0.33575116567023217	Campylobacter lari	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				30815.57773637958
ST05031	197	0.0008301755867778646	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				76.1943455300592
ST05031	195	0.0018880570863517067	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				173.28776744244598
ST05031	1848766	0.005406492530407872	Campylobacter ornithocola	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				496.2132909333649
ST05031	497724	0.00207766668163375	Campylobacter subantarcticus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				190.6903257070272
ST05031	1500960	0.000187706733436516	Campylobacter sp. RM16704	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				17.227911701536875
ST05031	36835	0.31151886950683005	[Clostridium] colinum	Tyzzerella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				28591.51336220637
ST05031	248039	0.21869480593919896	Mucispirillum schaedleri	Mucispirillum	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres		Bacteria				20072.02798390562
ST05031	300419	0.10554701475687531	Catellicoccus marimammalium	Catellicoccus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				9687.210561400772
ST05031	37482	0.0023407596650873827	Laceyella sacchari	Laceyella	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				214.83726282138508
ST05031	1352	0.004218850767619969	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				387.2103423029284
ST05031	1354	0.0011184038227002252	Enterococcus hirae	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				102.64822125124937
ST05031	44008	0.00047088706419994654	Enterococcus cecorum	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				43.21848563933529
ST05031	188913	0.004914469222197842	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria				451.05489968254017
ST05031	375926	0.002358980104872264	Helicobacter anseris	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria				216.50955300528128
ST05031	1559	0.0008081690602304374	Clostridium tertium	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				74.17456451700977
ST05031	2130	0.0002518582042058317	Ureaplasma urealyticum	Ureaplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria				23.11579784021544
ST05031	2116	0.000475830869615051	Mycoplasma iowae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria				43.67223304413899
ST05031	1220600	0.0002730300879156883	Phaeovibrio sulfidiphilus	Phaeovibrio	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria				25.058974498989787
