sample	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group	estimated_counts	gene.count	new.count	new.abundance
SL01122	188913	0.279439618547538	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	NA			24161.1877384758	10	2416.11877384758	0.00526842813823433
SL01122	850	0.0548150107387737	Fusobacterium mortiferum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	NA			4739.47027350659	8	592.433784188324	0.0012918217649077
SL01122	300419	0.117829648276852	Catellicoccus marimammalium	Catellicoccus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			10187.9048789615	6	1697.98414649358	0.00370251146280233
SL01122	623	0.000602325742481098	Shigella flexneri	Shigella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	NA			52.0788906721432	7	7.43984152459188	1.62228243314982e-05
SL01122	562	0.417256499075455	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	NA			36077.248679561	7	5153.89266850872	0.0112382360710566
SL01122	666	0.11166823807924	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria		Bacteria	NA			9655.17086904532	9	1072.79676322726	0.00233926937498717
SL01122	2014742	0.00172045799653815	Vibrio sp. 2521-89	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria		Bacteria	NA			148.755959754678	10	14.8755959754678	3.24367366614833e-05
SL01122	1352	0.00116795514006297	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			100.984905275264	6	16.8308175458774	3.67001629671466e-05
SL01122	861	0.000586910945480555	Fusobacterium ulcerans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	NA			50.7460810790853	7	7.24944015415504	1.58076477481175e-05
SL01122	37482	0.00170376801931395	Laceyella sacchari	Laceyella	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			147.312894253942	12	12.2760745211618	2.67683928184362e-05
