_id	projectID	sampleID	isolation_source	source_type	host	collection_date	collected_by	locality	preservation	assembly_method-version	barcode	comment	genome_coverage	if_repeated	locality_2	platform	project_directory	run_date	run_directory	sequencing_approach	sex	species	specimenID	tissue
652c4610312dae40112ee925	waterbird_microbiome	SL01122	fecal	Animal	Tringa erythropus	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode01					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee926	waterbird_microbiome	SL01123	fecal	Animal	Tringa erythropus	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode02					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee92e	waterbird_microbiome	ST05013	fecal	Animal	Gallinago gallinago	2023-07-27	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode03					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee92f	waterbird_microbiome	ST05016	fecal	Animal	Gallinago gallinago	2023-08-03	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode04					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee930	waterbird_microbiome	ST05017	fecal	Animal	Gallinago gallinago	2023-08-03	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode05					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee931	waterbird_microbiome	ST05018	fecal	Animal	Gallinago gallinago	2023-08-03	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode06					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee932	waterbird_microbiome	ST05019	fecal	Animal			Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode07	Ask Balázs Koleszár for details tringaDB				Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee934	waterbird_microbiome	ST05021	fecal	Animal			Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode08	Ask Balázs Koleszár for details tringaDB				Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee935	waterbird_microbiome	ST05022	fecal	Animal			Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode09	Ask Balázs Koleszár for details tringaDB				Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee937	waterbird_microbiome	ST05024	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode10					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee938	waterbird_microbiome	ST05025	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode11					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee939	waterbird_microbiome	ST05026	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode12					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee93a	waterbird_microbiome	ST05027	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode13					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee93b	waterbird_microbiome	ST05028	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode14					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee93c	waterbird_microbiome	ST05029	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode15					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee93d	waterbird_microbiome	ST05030	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode16					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee93e	waterbird_microbiome	ST05031	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode17					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee93f	waterbird_microbiome	ST05032	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode18					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee940	waterbird_microbiome	ST05033	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode19					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee941	waterbird_microbiome	ST05034	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode20					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee942	waterbird_microbiome	ST05035	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode21					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee943	waterbird_microbiome	ST05036	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode22					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
652c4610312dae40112ee944	waterbird_microbiome	ST05037	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield		barcode24					Nanopore MinION	wildbird_microbiome	2023-11-29	waterbird_1	metabarcode_16s				
656f2cfce260481bd6e4d7d5	waterbird_microbiome	zymod6305	standard	Other							barcode23					Nanopore MinION	wildbird_microbiome	2023-11-29 00:00:00	waterbird_1	metabarcode_16s				
