_id	projectID	sampleID	isolation_source	source_type	host	collection_date	collected_by	locality	preservation	IR_Biotyper_result	MALDI_result	assembly_method-version	barcode	comment	genome_coverage	if_repeated	locality_2	platform	project_directory	run_date	run_directory	sequencing_approach	sex	species	specimenID	tissue	assembly method-version	why_repeated
652c4610312dae40112ee936	waterbird_microbiome	ST05023	fecal	Animal	Gallinago gallinago	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode01					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee945	waterbird_microbiome	ST05316	fecal	Animal	Tringa totanus	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode02					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee946	waterbird_microbiome	ST05318	fecal	Animal	Gallinago gallinago	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode03					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee947	waterbird_microbiome	ST05319	fecal	Animal	Gallinago gallinago	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode04					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee948	waterbird_microbiome	ST05320	fecal	Animal	Gallinago gallinago	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode05					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee949	waterbird_microbiome	ST05321	fecal	Animal	Gallinago gallinago	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode06					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee94a	waterbird_microbiome	ST05322	fecal	Animal	Gallinago gallinago	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode07					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee94d	waterbird_microbiome	SX03094	fecal	Animal	Tringa glareola	2023-07-27	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode08					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee94e	waterbird_microbiome	SX03095	fecal	Animal	Tringa glareola	2023-07-27	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode09					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee94f	waterbird_microbiome	SX03096	fecal	Animal	Tringa glareola	2023-07-27	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode10					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee950	waterbird_microbiome	SX03098	fecal	Animal	Tringa glareola	2023-08-03	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode11					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee951	waterbird_microbiome	SX03099	fecal	Animal	Tringa glareola	2023-08-03	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode12					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee952	waterbird_microbiome	SX03201	fecal	Animal	Tringa glareola	2023-08-03	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode13					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee957	waterbird_microbiome	SX03207	fecal	Animal	Tringa glareola	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode14					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee958	waterbird_microbiome	SX03208	fecal	Animal	Tringa glareola	2023-08-24	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode15					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee959	waterbird_microbiome	SX03212	fecal	Animal	Tringa glareola	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode16					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee95a	waterbird_microbiome	SX03213	fecal	Animal	Tringa glareola	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode17					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
652c4610312dae40112ee95b	waterbird_microbiome	SX03214	fecal	Animal	Tringa glareola	2023-08-31	Lovas-Kiss Ádám	HU:Berettyóújfalu; Andaháza	DNA shield				barcode18					Nanopore MinION	waterbird_microbiome	2023-12-07	waterbird_2	metabarcode_16s						
