sample	tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species_subgroup	species_group	estimated_counts	gene.count	new.count	new.abundance
SX03219	300419	0.534218228596196	Catellicoccus marimammalium	Catellicoccus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			11349.4662665262	6	1891.5777110877	0.0184553134266676
SX03219	188913	0.328679408791103	Cetobacterium somerae	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	NA			6982.79403976698	10	698.279403976698	0.00681281302070658
SX03219	1352	0.0109168154556069	Enterococcus faecium	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	NA			231.927744354368	6	38.6546240590613	0.000377136608355241
SX03219	1041504	0.0842085802800838	Candidatus Arthromitus sp. SFB-rat-Yit	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			1789.01128805038	5	357.802257610076	0.00349092335475139
SX03219	49118	0.0137164112947081	Candidatus Arthromitus sp. SFB-mouse	Candidatus Arthromitus	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			291.405157956073	5.5	52.9827559920133	0.000516930053843251
SX03219	1505	0.00126253756451176	Paeniclostridium sordellii	Paeniclostridium	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			26.8226105580524	17	1.5778006210619	1.53939247728523e-05
SX03219	1712675	0.00202204997352077	Turicibacter sp. H121	Turicibacter	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Terrabacteria group	Bacteria	NA			42.9584516874488	12	3.57987097395407	3.49272675735653e-05
SX03219	1776391	0.0061997903191264	Romboutsia timonensis	Romboutsia	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			131.71454532984	16	8.23215908311502	8.03176497410276e-05
SX03219	1414720	0.00361080352414424	Clostridium saudiense	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			76.7115208704444	10	7.67115208704444	7.48441448004971e-05
SX03219	329	0.00110731308073757	Ralstonia pickettii	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			23.5248664002696	2.5	9.40994656010784	9.18088176219431e-05
SX03219	36835	0.000674016657840258	[Clostridium] colinum	Tyzzerella	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			14.3194838958163	5	2.86389677916326	2.79418140588522e-05
SX03219	52584	0.0051995570747677	Brachyspira pilosicoli	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes		Bacteria	NA			110.46459005344	1	110.46459005344	0.00107775568512716
SX03219	287	0.000770304751817438	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	NA		Pseudomonas aeruginosa group	16.3651244523615	4	4.09128111309037	3.99168772269318e-05
SX03219	316	0.000914736892783207	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	NA	Pseudomonas stutzeri subgroup	Pseudomonas stutzeri group	19.4335852871792	4	4.85839632179481	4.74012917069815e-05
SX03219	863372	0.000529584516874488	Herbaspirillum huttiense	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	NA			11.2510230609985	4	2.81275576524963	2.74428530935156e-05
SX03219	2116	0.000625872610851668	Mycoplasma iowae	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Terrabacteria group	Bacteria	NA			13.2966636175437	2	6.64833180877184	6.48649254937641e-05
SX03219	1678841	0.000625872610851668	Lentimicrobium saccharophilum	Lentimicrobium	Lentimicrobiaceae	Bacteroidales	Bacteroidia	Bacteroidetes	FCB group	Bacteria	NA			13.2966636175437	4	3.32416590438592	3.24324627468821e-05
SX03219	1541	0.00158875295021673	Terrisporobacter mayombei	Terrisporobacter	Peptostreptococcaceae	Clostridiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria	NA			33.7530564273545	10.5	3.21457680260519	3.13632488257964e-05
